## vimtex @latex @tex
Enable compiling | <leader>ll
Show/hide errors | <leader>le
Table of contents | <leader>lt
Change surrounding environment | cse
Toggle environment | tse
Toggle * environment | tss
Close current environment (insert mode) | ]]

## IncRename @rename @lsp
Rename (LSP) | <leader>s
Rename (LSP) | <F2>

## 99 @tmp/99-5901-prompt @lua/user/99.lua
Send visual selection as prompt | <leader>9v
Cancel all active requests | <leader>9x
Search the entire codebase | <leader>9s
Search the entire codebase and perform changes | <leader>9V
Select model via Telescope dropdown picker | <leader>9m
Select model provider via Telescope dropdown picker | <leader>9p
Open history of previous AI requests and buffers | <leader>9h
Launch interactive tutorial with question about the codebase | <leader>9t

## oil.nvim @oil @init.vim @lua/user/keymaps.lua
Open oil.nvim (floating) | <leader>o
Open entry | <CR>
Go up to parent directory | -
Move to split | <C-s>
Move to new tab | <C-t>
Toggle hidden files/dirs | g.
Show help / map actions | g?
